rating,name,elite,reviewer_location,n_friends,n_reviews,n_photos,review_photos,date,updated,text,n_useful,n_funny,n_cool,business_location
5,Josh C.,True,"Chicago, IL",215,22,129,9,1/9/2021,False,"We received a Farmer's Fridge delivery straight to our doors! We got a text when the driver was close and when the delivery was made. It was so easy and super convenient.

Their menu includes everything from salads to breakfast items to dinner plates and snacks. We received a variety and not only was it delicious, it was healthy and filling! Salads are typically not our first choice, but we were so impressed with how much flavor was packed into each one and am already craving them again!

We have tried other meal delivery services but were impressed with Farmer's Fridge the most. The convenience of the order, the ease of preparing the meal, and the overall quality and healthy options puts them above the competition. We can't wait to try more of their menu! Already eyeing the Buffalo Mac & Cheese and the Enchilada Roja plates......
See all photos from Josh C. for Farmer's Fridge",0,0,1,The Loop 1
5,Jim Z.,False,"Napa, CA",0,25,8,0,5/19/2021,False,"Repeat buyer... awesome food, great service... highly recommend!!! AAAA ++++
The salads are fresh and very tasty",0,0,0,The Loop 1
5,Kathy L.,False,"New Berlin, WI",0,2,0,0,4/2/2021,False,"So happy I found Farmers Fridge in MKE airport!!!! As a flight attendant it was wonderful finding their  ""fridge"" full of many, many fresh, nutritional and delicious food items!!  I couldn't decide on one item - had to get 3!!!  All superb!!! Can't wait to try EVERYTHING!!! Thank you for making eating on the road so much easier, convenient and HEALTHY!!!!!  You need to have a ""fridge"" in every airport!!!!!!",0,0,0,The Loop 1
5,Regina X.,True,"Seattle, WA",521,220,432,0,9/1/2019,False,"The business stock photos did not prepare me for a vending machine. Nor did I read reviews closely so that was a surprise. The southwest quinoa salad was really good and my friend enjoyed his pesto pasta & spinach salad. They got La Colombe coffees and some seriously nice spicy mixed nuts.

Overall, great stop for a salad fix PLUS 50% for first timers!!!",0,0,0,The Loop 1
1,Alice J.,False,"Oak Park, IL",0,23,1,0,8/14/2020,False,"$8 for a salad in a jar.
$8.
This is ridiculous.
Went to Harper College in Palatine & wanted good food.
Saw the prices in the vending machine.
No.
Lower your dang prices. Highway robbery.
College students are broke & can't afford these prices.",0,3,0,The Loop 1
3,J P.,False,"Manhattan, NY",0,6,0,0,10/23/2020,False,This review is for Farmer's Fridge delivery. The food is great. My issue is the delivery dates. You really need to make more delivery times available. I canceled my order because the delivery date was a week out. That is ridiculous! I am not waiting a week for food and something I have a taste for in the moment. VERY disappointing.,0,2,0,The Loop 1
5,Jeanne H.,False,"Downers Grove, IL",16,29,8,0,9/3/2019,False,"I'm a Farmer's Fridge Fan for life... what a great concept!  The salads across the street from my office are $16, so an $8 salad in a super cute container that is super fresh and tasty rocks.

The Napa is reluctantly becoming my go-to favorite.  When I need an afternoon pick-me-up, the Maple Chili Spiced nuts are the perfect portion/perfect spice/sweet mix.

I love that Farmer's Fridge has been so successful, and am glad I've got the convenience of one in my office building. It's a great convenience and flavorful choice.  Not my everyday option, but so glad to keep trying the FF options.",0,0,0,The Loop 1
4,Eric G.,False,"Gary, IN",62,295,524,2,3/20/2018,False,"I can't really add much more to what a lot of folks have already said.    It's just a nice option to have for fresh meals when you're looking for something healthy-ish and you don't have a lot of time to waste.  Of course since everything is purchased by vending machine, quickness of service will depend on how many people are ahead of you.

The time I went there was no wait so I was able to get my order pretty quickly.
Pasta Pesto served in recycled containers. They were out of forks though so a spoon would have to do.
Pesto Pasta Bowl w Sparkling Water",4,2,3,The Loop 1
4,Rosa J.,True,"Chicago, IL",489,1103,3826,1,7/21/2016,False,"I've written a review on another ""Farmer's Fridge"" location, but this kiosk should be very convenient for those who are CTA Red Line or Blue Line train commuters.

Below the Block Thirty Seven, there's a pedway that connects the R-B ""L"" Washington stations.  This vending machine is near the entry to Red Line.

At 1:30pm, there were still good selections of salad.  I tried the shrimp & succotash, featuring romaine, grilled shrimp, asparagus, tomato, roasted, corn, edamame, and yogurt-bail dressing.  Some of the salad entrees ordered from a restaurant tend to be ""dressing-heavy,"" but I actually would like more on this salad.  The basil was very aromatic, and the yogurt portion of the dressing was smooth and didn't taste acidic at all.

Every piece of large shrimps was thoroughly washed and deveined.  Don't get fooled by the appearance of a vending machine.  These shrimps were truly fresh and delicious.

I'm forever a Farmer's Fridge customer!  The price ranges from $7 to $12, with a few add-on options for chicken, tofu, juice, and LaCroix sparkling water.
Shrimp & succotash salad",12,4,5,The Loop 1
4,Prabhneet P.,True,"Chicago, IL",135,49,52,1,11/13/2017,False,"Love these to-go salads! Grabbed a few to detox after pigging out at Fogo De Chao. I felt like a new person afterwards. I was sad they were out of the Napa but Southwest is a close second for me. Crunchy Thai and cheater are pretty good too. Kinda pricey at around $9 average
Southwest, Cheater, Crunchy thai",1,0,1,The Loop 1
